id,source_wsi,dataset,i,j
06034408218a,1,1,3072,41472
0788fc3be62e,1,1,4608,38912
089a9e6be240,1,1,2048,42496
0b8029db1fb4,1,1,3584,41984
0c54942878fa,1,1,4608,41472
0d6c0cfee2db,1,1,4608,42496
0d9d65340ef8,1,1,2560,43008
0dce2b8d2c25,1,1,5120,45056
0e0836cf1824,1,1,6144,38400
10162104cbaf,1,1,6144,45568
15e5df255b86,1,1,5632,40960
1c8af4861691,1,1,4096,42496
1d8aa548c370,1,1,3072,43520
1e0efbb8979f,1,1,3072,45056
1f0d3cd4b621,1,1,4608,40960
209426451a36,1,1,4096,40448
214866956ea3,1,1,5632,43008
257c077f001a,1,1,3584,43008
2a577425c773,1,1,3072,41984
2af27d65509c,1,1,5120,44032
2bf7751456cd,1,1,2560,43520
2dbb4700f7be,1,1,4608,44544
2fd7649afbc1,1,1,1536,43008
333c1d618ae3,1,1,5120,43008
3382edde0a6c,1,1,5632,40448
349a6a8fc66e,1,1,4096,44032
352c7fdfb717,1,1,2048,40960
39b8aafd630b,1,1,4608,39936
3b523d3117e2,1,1,3584,43520
3b83d7668181,1,1,5632,41472
3c72922e02f4,1,1,5120,45568
3cf35a0393b8,1,1,2560,41984
3fa3016e2bc5,1,1,4608,43008
40ac7a9fc203,1,1,4608,43520
43b4654b4c3d,1,1,6144,39424
44b8b0eaa3b2,1,1,6144,43520
458a92eda7b4,1,1,5632,42496
45d6f53ececf,1,1,5632,38912
481234519879,1,1,2560,39936
495169bbaa46,1,1,6144,44032
4a1b99c7ab16,1,1,3584,42496
4b197545ea0e,1,1,3072,39936
4c1361e4c2d8,1,1,6144,42496
4eb2a2b392f6,1,1,3584,40448
50c80988e3ff,1,1,6144,41472
5566406c59ee,1,1,2048,40448
55b07829e888,1,1,6144,45056
55eef661b175,1,1,5120,38400
5631a47d5b0c,1,1,1536,42496
573aeb182976,1,1,3072,44544
578c8b32057e,1,1,6144,43008
59642acc100e,1,1,4096,45568
5a22624135ab,1,1,5120,38912
5a89c7f7ad05,1,1,4608,39424
5d0731972927,1,1,3072,38912
644a62eaaf2b,1,1,5632,39424
65fcbb5ef4c7,1,1,6144,38912
678c51bde237,1,1,3584,38400
6f6d94a82c86,1,1,5120,39936
733296a59c9b,1,1,3584,45056
7aa96f6832b9,1,1,3584,40960
7ae0eb4bda2c,1,1,3584,39424
7b7327ccac8d,1,1,6144,39936
7db4a2106f14,1,1,5632,45568
8047c43b1cb2,1,1,4096,43520
81e49a2e8c6b,1,1,4096,41984
836f728b5c18,1,1,2048,41984
83accb438714,1,1,2560,39424
8565f71a4149,1,1,3072,43008
87a07ec41751,1,1,5120,40960
88c95fb9fb14,1,1,2048,39424
88d349bebe86,1,1,2048,43520
892146ef3207,1,1,4608,45568
8e90e6189c6b,1,1,2048,38912
91858313a40e,1,1,6144,41984
94ad7d9e5497,1,1,4096,40960
951d7a241936,1,1,5120,41984
9afac4fc65ef,1,1,4096,43008
9b95807e6b23,1,1,2560,42496
9cbdd3eb5929,1,1,4096,41472
9ed941a933d0,1,1,5120,41472
a8dcf7824e9b,1,1,3072,40960
aa89285a0dbd,1,1,3072,38400
ada5d6fa80aa,1,1,2048,43008
ae4641d3fb5f,1,1,4608,45056
af587261a215,1,1,3584,38912
b36f28986045,1,1,3584,41472
b50d9b7c01c4,1,1,2560,41472
b73efafa7477,1,1,4608,38400
bc9d7d15a9a9,1,1,2560,44544
be9250fc8ec5,1,1,4096,39424
c9d0ac176add,1,1,5632,44032
ca178713fdb2,1,1,3584,44032
cb96f7b681f8,1,1,3072,40448
cd6b90e3f4b3,1,1,5632,39936
cf921187e2bc,1,1,5120,40448
cfbf75947d43,1,1,5120,44544
d078cb53bbd5,1,1,2048,41472
d171145b9fb7,1,1,5120,43520
d6529e6e8602,1,1,3072,42496
d850250778f2,1,1,2560,38400
d9808586aef2,1,1,4096,44544
da1c6d6657e9,1,1,4096,45056
da876b636c6c,1,1,4096,38400
db8431a57b16,1,1,2560,40960
dc03d69afd95,1,1,6144,44544
dcea2cfbc429,1,1,3584,44544
dd690b7d9a47,1,1,2048,39936
dfcea0f4ef63,1,1,4608,46080
e0ea1978d5dc,1,1,5632,44544
e176191e4f83,1,1,2560,40448
e1f6c8a7873e,1,1,5632,45056
e283ea6e3f7b,1,1,3584,39936
e2924beb5567,1,1,4608,44032
e6d9bd78b840,1,1,2048,44032
eba1f93e5a11,1,1,4096,38912
ed6a92a9410c,1,1,5120,42496
eda294658a0a,1,1,4608,41984
eef5565a7e5a,1,1,3072,44032
f1af97caff9d,1,1,4096,39936
f24e15fe294b,1,1,5632,38400
f406fdba08f4,1,1,2560,44032
f45a29109ff5,1,1,2560,38912
f48f6580655c,1,1,6144,40448
f4c6166d1039,1,1,5632,43520
f6afc2903670,1,1,4608,40448
faba1bf818ae,1,1,3072,39424
fd2437954fd8,1,1,5120,39424
