id,source_wsi,dataset,i,j
0033bbc76b6b,1,1,10240,43008
00656c6f2690,1,1,10240,46080
00d75ad65de3,1,1,8192,39424
00da70813521,1,1,10240,46592
0596bfb19322,1,1,7680,40448
06034408218a,1,1,3072,41472
072f5307f243,1,1,8192,45056
0788fc3be62e,1,1,4608,38912
089a9e6be240,1,1,2048,42496
093a52e9bc1d,1,1,9216,40448
0a10b8716b30,1,1,10752,46592
0b8029db1fb4,1,1,3584,41984
0c54942878fa,1,1,4608,41472
0d6c0cfee2db,1,1,4608,42496
0d9d65340ef8,1,1,2560,43008
0dce2b8d2c25,1,1,5120,45056
0e0836cf1824,1,1,6144,38400
0e8aed930dc6,1,1,8704,44032
10162104cbaf,1,1,6144,45568
1222b4306c01,1,1,8704,39424
12ab9ac0fc55,1,1,6656,44544
130d4d323ce4,1,1,10240,39424
13aa34ced90d,1,1,10752,45056
15e5df255b86,1,1,5632,40960
15ed954c0cdf,1,1,7168,41472
19551df15a1e,1,1,7168,43008
1a54cda8f32d,1,1,8704,40448
1a785cc0d167,1,1,7680,38400
1bd726055ad8,1,1,9728,40448
1c6c39a22324,1,1,9216,39424
1c8af4861691,1,1,4096,42496
1d8aa548c370,1,1,3072,43520
1e0efbb8979f,1,1,3072,45056
1e14b9acc9b9,1,1,9216,39936
1f0d3cd4b621,1,1,4608,40960
209426451a36,1,1,4096,40448
2136df4a5aeb,1,1,10752,43520
214866956ea3,1,1,5632,43008
21acb908cf67,1,1,7168,43520
2321d0fb53f7,1,1,10240,39936
2405b58d5b61,1,1,8704,43520
2519a0f1b867,1,1,9216,46080
257c077f001a,1,1,3584,43008
25b98e7aea78,1,1,9728,42496
26b7c381eb73,1,1,10240,43520
27ac6c438f3b,1,1,9216,43008
2a577425c773,1,1,3072,41984
2af27d65509c,1,1,5120,44032
2bf7751456cd,1,1,2560,43520
2d0c1b760913,1,1,7168,42496
2dbb4700f7be,1,1,4608,44544
2fd7649afbc1,1,1,1536,43008
303b72a38e29,1,1,7168,44032
31195284c86e,1,1,8192,40960
32d912178fdd,1,1,9216,43520
333c1d618ae3,1,1,5120,43008
3382edde0a6c,1,1,5632,40448
349a6a8fc66e,1,1,4096,44032
34bfda589476,1,1,9728,39424
352777709276,1,1,8704,45568
352c7fdfb717,1,1,2048,40960
359bb86fa14f,1,1,9216,45568
37cac808f375,1,1,10752,44544
3901bf683fc0,1,1,8192,44544
39b8aafd630b,1,1,4608,39936
3b523d3117e2,1,1,3584,43520
3b83d7668181,1,1,5632,41472
3c18fbcff68b,1,1,10752,39936
3c232223b2d0,1,1,9728,43520
3c72922e02f4,1,1,5120,45568
3cf35a0393b8,1,1,2560,41984
3d5f53402137,1,1,7680,41984
3e248be7dd4c,1,1,9216,44544
3fa3016e2bc5,1,1,4608,43008
40ac7a9fc203,1,1,4608,43520
41225437e33e,1,1,7680,38912
43b4654b4c3d,1,1,6144,39424
44b8b0eaa3b2,1,1,6144,43520
454cf72a9ed9,1,1,6656,41472
458a92eda7b4,1,1,5632,42496
45d6f53ececf,1,1,5632,38912
481234519879,1,1,2560,39936
484301f61207,1,1,8704,38400
495169bbaa46,1,1,6144,44032
4a1b99c7ab16,1,1,3584,42496
4a8a791a23cb,1,1,9216,41984
4b197545ea0e,1,1,3072,39936
4c1361e4c2d8,1,1,6144,42496
4eb2a2b392f6,1,1,3584,40448
4eef9950c417,1,1,8192,43520
50c80988e3ff,1,1,6144,41472
51551e6feeb1,1,1,9216,46592
54b61f30d4ec,1,1,7680,44032
5566406c59ee,1,1,2048,40448
55b07829e888,1,1,6144,45056
55eef661b175,1,1,5120,38400
55f4ccb3f710,1,1,10752,40960
5631a47d5b0c,1,1,1536,42496
564283be4af8,1,1,6656,39936
573aeb182976,1,1,3072,44544
578c8b32057e,1,1,6144,43008
59642acc100e,1,1,4096,45568
5a22624135ab,1,1,5120,38912
5a89c7f7ad05,1,1,4608,39424
5ac25a1e40dd,1,1,10240,38400
5c48013d4c6d,1,1,9216,41472
5d0731972927,1,1,3072,38912
5ed19b1b6f88,1,1,10752,38912
5f9afd2ee26d,1,1,9216,44032
60649906e443,1,1,9728,45056
62bc683d8c8a,1,1,9728,45568
6443bced36cd,1,1,10240,44544
644a62eaaf2b,1,1,5632,39424
64a7e1b01c32,1,1,9216,38400
65a235166914,1,1,9728,38912
65fcbb5ef4c7,1,1,6144,38912
664fdc3e5dca,1,1,7168,40960
678c51bde237,1,1,3584,38400
6932d1e4a62b,1,1,7168,45056
6a4d868ab872,1,1,10240,41984
6b0fd03dfafe,1,1,8192,41984
6f6d94a82c86,1,1,5120,39936
71bf4443c163,1,1,9216,40960
733296a59c9b,1,1,3584,45056
7392e21e0fe2,1,1,6656,42496
758c0b61f9db,1,1,9728,40960
77c7c3714f08,1,1,7680,45568
7aa96f6832b9,1,1,3584,40960
7ae0eb4bda2c,1,1,3584,39424
7b521f53df5b,1,1,7680,39424
7b7327ccac8d,1,1,6144,39936
7c58b92324f7,1,1,6656,45568
7d0038b7076a,1,1,9728,43008
7db4a2106f14,1,1,5632,45568
7e72cf2b43bf,1,1,6656,43520
8047c43b1cb2,1,1,4096,43520
8182a03edd17,1,1,7168,38912
81e49a2e8c6b,1,1,4096,41984
836f728b5c18,1,1,2048,41984
83accb438714,1,1,2560,39424
8533ba9bc160,1,1,8192,39936
8565f71a4149,1,1,3072,43008
87a07ec41751,1,1,5120,40960
881186005e82,1,1,10752,44032
88c95fb9fb14,1,1,2048,39424
88d349bebe86,1,1,2048,43520
88e8fbbc2b4e,1,1,10240,40960
891613413e69,1,1,9728,41472
892146ef3207,1,1,4608,45568
8a6e6fb756da,1,1,10752,40448
8abfc630ccdd,1,1,10240,38912
8e90e6189c6b,1,1,2048,38912
8f256d18b5e4,1,1,8704,39936
91101158fefd,1,1,7680,45056
91170b600f70,1,1,7168,40448
91858313a40e,1,1,6144,41984
9227f6ede08f,1,1,7168,39936
936f9bfb3966,1,1,8704,43008
94ad7d9e5497,1,1,4096,40960
951d7a241936,1,1,5120,41984
9596b376c210,1,1,7168,44544
9a2004e16035,1,1,10240,41472
9afac4fc65ef,1,1,4096,43008
9b95807e6b23,1,1,2560,42496
9cbdd3eb5929,1,1,4096,41472
9ed941a933d0,1,1,5120,41472
a3ebac2db19d,1,1,6656,40448
a4b58c23d4c6,1,1,7168,39424
a60200ee318c,1,1,6656,38400
a7a03dcb5485,1,1,6656,39424
a8dcf7824e9b,1,1,3072,40960
a9653f16e0b6,1,1,6656,43008
a977353c25d6,1,1,7680,43008
aa5761ee8eda,1,1,10752,41984
aa89285a0dbd,1,1,3072,38400
ac68833641fe,1,1,8192,43008
ac6d05ce6dd1,1,1,7680,42496
ac8f685801d0,1,1,8192,45568
ada5d6fa80aa,1,1,2048,43008
ae4641d3fb5f,1,1,4608,45056
af587261a215,1,1,3584,38912
b1374d055915,1,1,6656,38912
b20773efe051,1,1,9728,41984
b36f28986045,1,1,3584,41472
b454fe1b98f8,1,1,9216,38912
b50d9b7c01c4,1,1,2560,41472
b6395d5c113f,1,1,10752,45568
b73efafa7477,1,1,4608,38400
bb488d9b931e,1,1,8704,38912
bc995681dd54,1,1,10240,42496
bc9d7d15a9a9,1,1,2560,44544
bd090bb1b654,1,1,7680,39936
bd4bbe103c24,1,1,9728,46080
bda6c8ca9d47,1,1,6656,40960
be9250fc8ec5,1,1,4096,39424
bf96591278cd,1,1,10240,45056
c1a16cb3923b,1,1,8192,46080
c79b1b1886d4,1,1,6656,45056
c7d49f3f1ae3,1,1,7168,38400
c9455a06321d,1,1,7680,41472
c9d0ac176add,1,1,5632,44032
c9dc3cfc0567,1,1,8704,41984
ca081412bad8,1,1,6656,46080
ca178713fdb2,1,1,3584,44032
ca57af0413ac,1,1,8192,44032
cb96f7b681f8,1,1,3072,40448
cbbdc5d83ec9,1,1,7680,44544
cbc4758c8c53,1,1,8704,42496
cd4b698ac682,1,1,9216,45056
cd6b90e3f4b3,1,1,5632,39936
ce27b0613895,1,1,7168,46080
cf921187e2bc,1,1,5120,40448
cfbf75947d43,1,1,5120,44544
cfe02239d1c7,1,1,10240,45568
d078cb53bbd5,1,1,2048,41472
d171145b9fb7,1,1,5120,43520
d1d485660263,1,1,9728,44032
d4e99e162f37,1,1,8704,44544
d6529e6e8602,1,1,3072,42496
d6d79e965902,1,1,8704,45056
d6f0f1f4a7dc,1,1,8192,38400
d850250778f2,1,1,2560,38400
d92dc34cd8f2,1,1,10752,43008
d9808586aef2,1,1,4096,44544
da1c6d6657e9,1,1,4096,45056
da2863316247,1,1,8704,46080
da876b636c6c,1,1,4096,38400
db03a1487798,1,1,6656,44032
db20b95a3ab9,1,1,8192,42496
db8431a57b16,1,1,2560,40960
dc03d69afd95,1,1,6144,44544
dcea2cfbc429,1,1,3584,44544
dd690b7d9a47,1,1,2048,39936
dfcea0f4ef63,1,1,4608,46080
e0ea1978d5dc,1,1,5632,44544
e176191e4f83,1,1,2560,40448
e1f6c8a7873e,1,1,5632,45056
e283ea6e3f7b,1,1,3584,39936
e2924beb5567,1,1,4608,44032
e2c1ebfddb4a,1,1,9728,44544
e4c6313913c3,1,1,9728,38400
e506a133c873,1,1,8192,40448
e5ac1caaadd8,1,1,9216,42496
e63d156bc72f,1,1,8192,41472
e6d9bd78b840,1,1,2048,44032
e72945522a29,1,1,10240,40448
e7dd45905a5f,1,1,8704,41472
e8a183610034,1,1,10752,46080
e95c2881d1dc,1,1,7680,46080
eaa85fa2b857,1,1,8192,38912
eba1f93e5a11,1,1,4096,38912
ed6a92a9410c,1,1,5120,42496
eda294658a0a,1,1,4608,41984
eef5565a7e5a,1,1,3072,44032
ef7f5d12b1ff,1,1,7168,45568
f0c2afc5fb05,1,1,8704,40960
f1af97caff9d,1,1,4096,39936
f21ab98d3572,1,1,7168,41984
f24e15fe294b,1,1,5632,38400
f406fdba08f4,1,1,2560,44032
f40804ea84e6,1,1,7680,43520
f45a29109ff5,1,1,2560,38912
f48f6580655c,1,1,6144,40448
f4c6166d1039,1,1,5632,43520
f6afc2903670,1,1,4608,40448
f6b0c55c34c7,1,1,9728,39936
faba1bf818ae,1,1,3072,39424
fc6def641612,1,1,7680,40960
fd2437954fd8,1,1,5120,39424
fe248458ea89,1,1,10240,44032
