id,source_wsi,dataset,i,j
00da8fdf2391,4,2,4096,22528
014b60dfe193,4,2,4096,23040
019390572feb,4,2,4096,22016
033e91059cec,4,2,2560,23040
04eaacfbb9f6,4,2,6656,21504
055348e2fece,4,2,13312,20992
05dd21a61705,4,2,2560,20992
07199abc71ec,4,2,2560,26112
08a1b468620a,4,2,11776,22528
08e2fa7b08f0,4,2,3584,25088
08ea167cfd5d,4,2,11264,21504
09e3d02dfd1c,4,2,11776,25600
0a4ddecc55f0,4,2,12288,26624
0ae9282b7594,4,2,5632,26112
0be9b14718b9,4,2,7680,22528
0c05e3861510,4,2,3584,21504
0cc564c74306,4,2,10240,23040
0cf58cc68215,4,2,9216,27136
0def202e0a03,4,2,8704,26624
0e9651f77684,4,2,3072,24064
0ff188f666c5,4,2,3584,25600
106e8a3e8dcd,4,2,7680,25600
12040bd8cd09,4,2,6144,22016
12dc33d98d35,4,2,4608,23552
141729073269,4,2,1536,21504
14ac6b8b4ab6,4,2,2560,25088
1508ea9334c0,4,2,4608,20992
151bfc87ffc9,4,2,4096,25600
169bdf0e2a2b,4,2,7168,26112
1767ea05cfbc,4,2,12800,23040
1803b93469e4,4,2,7168,20992
1a05f1dc34fc,4,2,13312,21504
1b2d34c9e9fe,4,2,4608,27136
1c46f36cf55c,4,2,6656,23552
1cf437f790aa,4,2,5120,25088
1daf55f162a1,4,2,5632,23552
1ea1a75f6051,4,2,4608,22016
1f5348824ad2,4,2,7680,27136
2000408010ab,4,2,13312,22528
208ec420a4f1,4,2,2560,24576
21e0f12ec94b,4,2,5632,21504
22db9740ba20,4,2,10752,26624
2419482dc6e5,4,2,2560,21504
243169fcefaf,4,2,5120,26624
26eb634b5933,4,2,7168,22016
283a63bdeedf,4,2,8192,21504
29a3a48d6fee,4,2,8704,25600
2a3f4829cc7a,4,2,7680,20992
2b1cf5bbc9ea,4,2,3584,26624
2bb6adc62561,4,2,3584,24064
2c735ec7ce1c,4,2,2560,22016
2cad7b97ea7e,4,2,6656,22016
2cb88bf3ed30,4,2,6144,21504
2e00a0fe807c,4,2,2048,25600
2e7951162645,4,2,3584,26112
2eb70ab73fa9,4,2,7168,21504
2fa13b04e7c2,4,2,7680,25088
319c978054dd,4,2,4096,24576
31d82ba28004,4,2,3072,26624
33361307e751,4,2,13312,23040
34e360d17e59,4,2,11776,24064
35316cc71696,4,2,10240,22016
38ab48356c82,4,2,5120,25600
3962d1284da9,4,2,8704,27136
3979a8db69bc,4,2,11264,24576
3a6612dd0d76,4,2,12288,23040
3b0d08f3e37a,4,2,13312,26112
3b1127f5e4d4,4,2,7168,23040
3ca506a3f4bb,4,2,3584,20992
3db8c9dbf20f,4,2,9728,25600
3dee55fb6fcc,4,2,10752,26112
3e16b3b411c2,4,2,7168,27136
3e38a14cb10f,4,2,2048,26112
3e55b753ea46,4,2,12288,21504
3ef978f2c262,4,2,10240,25600
40f2457d3efe,4,2,12800,20992
43362b7daae9,4,2,11264,25600
434f29f2d00a,4,2,8192,23552
440b33550916,4,2,5120,27136
453ffb49c67f,4,2,4608,22528
45e1f0b13e32,4,2,4096,26112
46a58335b3c8,4,2,10752,23040
48f802f35207,4,2,6656,25600
497e8129e4bc,4,2,12800,22016
49a730e87f9c,4,2,3584,22016
4abba3bf65bb,4,2,1536,22016
4bd662327ca6,4,2,6144,25088
4dae128831ab,4,2,6656,24576
51ebdbb49211,4,2,11264,24064
52ef4341cfd5,4,2,5632,24576
530867f65ca0,4,2,5120,20992
539741a6f8dc,4,2,6144,24576
541222108e55,4,2,2048,27136
5715f8aaf551,4,2,6144,26624
578ced5a0ac0,4,2,7680,22016
57f8db17da03,4,2,11264,25088
590f64bf82a6,4,2,11264,26112
5c4b2ee1796a,4,2,9728,27136
5c67b0b835d2,4,2,5120,24576
5d3e158def53,4,2,7680,26624
5e8476b465f9,4,2,4096,26624
5eb8dd24210f,4,2,7168,25088
5f828ab21444,4,2,11264,23552
603ee78f2a2f,4,2,8192,23040
